,Word,Count
0,go,458
1,wan,403
2,know,375
3,yeah,250
4,night,229
5,way,213
6,love,211
7,get,211
8,want,182
9,ooh,178
10,heart,175
11,say,153
12,let,140
13,take,138
14,baby,138
15,feel,137
16,hey,120
17,see,114
18,got,111
19,time,109
20,make,94
21,gon,87
22,hold,86
23,stay,78
24,lie,75
25,girl,75
26,tell,70
27,day,64
28,met,64
29,eye,63
30,everything,62
31,home,47
32,side,45
33,call,44
34,shoulda,42
35,word,41
36,rock,37
37,save,34
38,nothing,34
39,fire,32
40,story,32
41,said,30
42,loved,30
43,nobody,29
44,dance,28
45,half,26
46,thief,22
47,control,21
48,coming,20
49,illusion,17
50,calling,17
51,act,15
52,summer,15
53,infinity,12
54,wire,11
55,singing,9
56,tearing,9
57,walking,7
58,everybody,3
59,diana,0
